ColName,ColClass,Unique,Required,MultipleValues,Description,AllowedValues,Delimiter,Separater,DynamicEnum,DynamicEnumProperty
study_name,character,non-unique,optional,FALSE,Dataset name.,[a-zA-Z-]+_[0-9]{4}|[a-zA-Z-]+_[0-9]{4}[a-zA-Z-]+|[a-zA-Z-]+_[0-9]{4}_[a-zA-Z-]+|[a-zA-Z-]+_[0-9]{4}_[a-zA-Z0-9]+,NA,NA,NA,NA
subject_id,character,non-unique,required,FALSE,Subject identifier.,[0-9a-zA-Z]\S+,NA,NA,NA,NA
sample_id,character,unique,required,FALSE,Sample identifier.,[0-9a-zA-Z]\S+,NA,NA,NA,NA
target_condition,character,non-unique,required,TRUE,The primary phenotype/condition of interest in the study from which the sample is derived,NA,;,NA,NCIT:C7057;EFO:0000408,descendant
control,character,non-unique,required,FALSE,"Whether the sample is control, case, or not used in the study",Study Control;Case;Not Used,NA,NA,NA,NA
body_site,character,non-unique,required,FALSE,"Named locations of or within the body. The anatomical location(s) affected by the patient's disease/condition/cancer, often the site from which the sample was derived",feces;milk;nasal cavity;oral cavity;skin epidermis;vagina,NA,NA,NA,NA
age,integer,non-unique,optional,FALSE,Age of the subject using the unit specified under 'age_unit' column,[0-9]+,NA,NA,NA,NA
age_group,character,non-unique,optional,FALSE,11 <= Adolescent < 18|18 <= Adult < 65|2 <= Children 2-11 Years Old < 11|65 <= Elderly < 130|0 <= Infant < 2,Adolescent;Adult;Children 2-11 Years Old;Elderly;Infant,NA,NA,NA,NA
age_unit,character,non-unique,optional,FALSE,Unit of the subject's age specified under 'age' column,Day;Week;Month;Year,NA,NA,NA,NA
curator,character,non-unique,required,TRUE,Curator name.,NA,;,NA,NA,NA
disease,character,non-unique,optional,TRUE,Reported disease/condition type(s) for a participant. 'Healthy' if disease(s)/condition(s) assessed under a given study is not detected,NA,;,NA,NCIT:C7057;EFO:0000408,descendant
NCBI_accession,character,non-unique,optional,FALSE,A semicolon-separated vector of NCBI accessions,[ES]R[SR][0-9]+,NA,NA,NA,NA
sex,character,non-unique,optional,FALSE,Biological sex of the subject,Female;Male,NA,NA,NA,NA
BioProject,character,non-unique,optional,FALSE,SRA BioProject accession.,PRJ[DEN][BA][0-9]+,NA,NA,NA,NA
BioSample,character,unique,optional,FALSE,SRA BioSample accession.,SAM[DNEA]+?[0-9]+,NA,NA,NA,NA
curation_id,character,unique,required,FALSE,Dataset x subject identifier. Backup in case multiple datasets use the same subject identifier formats.,([a-zA-Z-]+_[0-9]{4}|[a-zA-Z-]+_[0-9]{4}[a-zA-Z-]+|[a-zA-Z-]+_[0-9]{4}_[a-zA-Z-]+|[a-zA-Z-]+_[0-9]{4}_[a-zA-Z0-9]+):[0-9a-zA-Z]\S+,NA,NA,NA,NA
host_species,character,non-unique,optional,FALSE,Species of the subject.,Homo sapiens;Mus musculus,NA,NA,NA,NA
